,method_1,method_2,precision,recall,f1
0,gseg_avg,gseg_union,0.6666666666666666,0.6666666666666666,0.6666666666666666
1,gseg_avg,kernel_linear,0.3333333333333333,1.0,0.5
2,gseg_avg,kernel_rbf,0.6666666666666666,0.6666666666666666,0.6666666666666666
3,gseg_avg,kernel_cosine,1.0,1.0,1.0
4,gseg_avg,rank,1.0,1.0,1.0
5,gseg_union,kernel_linear,0.3333333333333333,1.0,0.5
6,gseg_union,kernel_rbf,1.0,1.0,1.0
7,gseg_union,kernel_cosine,0.6666666666666666,0.6666666666666666,0.6666666666666666
8,gseg_union,rank,0.6666666666666666,0.6666666666666666,0.6666666666666666
9,kernel_linear,kernel_rbf,1.0,0.3333333333333333,0.5
10,kernel_linear,kernel_cosine,1.0,0.3333333333333333,0.5
11,kernel_linear,rank,1.0,0.3333333333333333,0.5
12,kernel_rbf,kernel_cosine,0.6666666666666666,0.6666666666666666,0.6666666666666666
13,kernel_rbf,rank,0.6666666666666666,0.6666666666666666,0.6666666666666666
14,kernel_cosine,rank,1.0,1.0,1.0
